key,pod,container,timestamp_ms,timestamp_utc,cpu_cores,cpu_time_sec,mem_usage_kb,mem_working_kb,rss_kb,logs_bytes,rootfs_bytes
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454809390,2025-09-09T21:53:29.390000+00:00,4.024693,30609.73,0.0,110546880.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454809869,2025-09-09T21:53:29.869000+00:00,4.025551,30611.59,0.0,110547108.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454810334,2025-09-09T21:53:30.334000+00:00,4.024575,30613.51,0.0,110547624.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454810869,2025-09-09T21:53:30.869000+00:00,4.02532,30615.56,0.0,110546848.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454811390,2025-09-09T21:53:31.390000+00:00,4.026002,30617.74,0.0,110547108.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454811849,2025-09-09T21:53:31.849000+00:00,4.025566,30619.61,0.0,110546880.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454812314,2025-09-09T21:53:32.314000+00:00,4.023556,30621.46,0.0,110546856.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454812787,2025-09-09T21:53:32.787000+00:00,4.024879,30623.38,0.0,110546352.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454813259,2025-09-09T21:53:33.259000+00:00,4.02458,30625.32,0.0,110547120.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454813716,2025-09-09T21:53:33.716000+00:00,4.023413,30627.15,0.0,110547628.0,0.0,49152.0,189378560.0
